Airport_Type,Airport_Name,Country,Airport_Code,Longitude,Latitude,Country_Name
small_airport,Utirik Airport,MH,UTK,169.852005,11.222,Marshall Islands
small_airport,Ocean Reef Club Airport,US,OCA,-80.27480316,25.3253994,United States
small_airport,Pilot Station Airport,US,PQS,-162.899994,61.934601,United States
small_airport,Crested Butte Airpark,US,CSE,-106.928341,38.851918,United States
small_airport,LBJ Ranch Airport,US,JCY,-98.62249756,30.25180054,United States
small_airport,Metropolitan Airport,US,PMX,-72.31140137,42.22330093,United States
seaplane_base,Loring Seaplane Base,US,WLR,-131.6369934,55.60129929,United States
small_airport,Nunapitchuk Airport,US,NUP,-162.440454,60.905591,United States
seaplane_base,Port Alice Seaplane Base,US,PTC,-133.597,55.803,United States
small_airport,Icy Bay Airport,US,ICY,-141.6620026,59.96900177,United States
seaplane_base,Port Protection Seaplane Base,US,PPV,-133.6100006,56.3288002,United States
small_airport,Kalakaket Creek AS Airport,US,KKK,-156.8203926,64.4166257,United States
small_airport,Dunsmuir Muni-Mott Airport,US,MHS,-122.272003,41.263199,United States
small_airport,Chase Field Industrial Airport,US,NIR,-97.661917,28.362444,United States
small_airport,Grand Canyon Bar Ten Airstrip,US,GCT,-113.231159,36.258614,United States
seaplane_base,Ellamar Seaplane Base,US,ELW,-146.704038,60.893818,United States
small_airport,Lime Village Airport,US,LVD,-155.4400024,61.35910034,United States
small_airport,Hog River Airport,US,HGZ,-155.6690063,66.2161026,United States
small_airport,Ed-Air Airport,US,OTN,-87.49970245,38.85139847,United States
small_airport,Telida Airport,US,TLF,-153.2689972,63.39390182,United States
small_airport,Eagle Air Park,US,BZT,-95.57969666,28.98220062,United States
seaplane_base,Entrance Island Seaplane Base,US,HBH,-133.43848,57.412201,United States
seaplane_base,False Island Seaplane Base,US,FAK,-135.2129974,57.53219986,United States
small_airport,Blakely Island Airport,US,BYW,-122.8259964,48.57899857,United States
small_airport,Drift River Airport,US,DRF,-152.1620026,60.58890152,United States
small_airport,Rinkenberger Restricted Landing Area,US,BDF,-89.61569977,41.23089981,United States
small_airport,Roy Otten Memorial Airfield,US,VRS,-92.87519836,38.42779922,United States
seaplane_base,Golden Horn Lodge Seaplane Base,US,GDH,-158.875,59.74700165,United States
small_airport,Atmautluak Airport,US,ATT,-162.272995,60.866699,United States
small_airport,Livengood Camp Airport,US,LIV,-148.6534,65.467,United States
small_airport,Pedro Bay Airport,US,PDB,-154.1239929,59.78960037,United States
small_airport,Ouzinkie Airport,US,KOZ,-152.496715,57.925362,United States
small_airport,Tununak Airport,US,TNK,-165.2720032,60.57550049,United States
closed,Ben Bruce Memorial Airpark,US,EVA,-94.07350159,30.32099915,United States
seaplane_base,Hyder Seaplane Base,US,WHD,-130.009975,55.903324,United States
small_airport,Minto Al Wright Airport,US,MNT,-149.369995,65.1437,United States
seaplane_base,Tokeen Seaplane Base,US,TKI,-133.3269959,55.93709946,United States
medium_airport,Aleknagik / New Airport,US,WKK,-158.6179962,59.2826004,United States
seaplane_base,Ketchikan Harbor Seaplane Base,US,WFB,-131.677002,55.349899,United States
small_airport,Naknek Airport,US,NNK,-157.0200043,58.73289871,United States
seaplane_base,Lake Brooks Seaplane Base,US,BKF,-155.7769928,58.55479813,United States
small_airport,Southern Seaplane Airport,US,BCS,-90.02220154,29.86610031,United States
heliport,Catalina Air-Sea Terminal Heliport,US,SPQ,-118.2750015,33.74919891,United States
heliport,East 34th Street Heliport,US,TSS,-73.9720993,40.74259949,United States
seaplane_base,New York Skyports Inc Seaplane Base,US,QNY,-73.9729,40.734001,United States
small_airport,Earl Henry Airport,US,BWL,-97.31700134,36.79589844,United States
seaplane_base,Yes Bay Lodge Seaplane Base,US,WYB,-131.8009949,55.91630173,United States
small_airport,Center Island Airport,US,CWS,-122.8320007,48.49010086,United States
small_airport,Tatitlek Airport,US,TEK,-146.690297,60.871449,United States
small_airport,Pine Island Airport,US,DUF,-75.78849792,36.25350189,United States
small_airport,Stuart Island Airpark,US,SSW,-123.1760025,48.67290115,United States
small_airport,Fort Bragg Airport,US,FOB,-123.7959976,39.47430038,United States
seaplane_base,Port of Poulsbo Marina Moorage Seaplane Base,US,PUL,-122.6470032,47.73400116,United States
heliport,Century City Heliport,US,CCD,-118.4179993,34.06079865,United States
seaplane_base,Meyers Chuck Seaplane Base,US,WMK,-132.2550049,55.73960114,United States
small_airport,Maxson Airfield,US,AXB,-75.90034,44.312002,United States
small_airport,Reese Airpark,US,REE,-102.0370026,33.59030151,United States
